player_name,current_team,position,role_archetype,expected_role,role_confidence,candidate_type,board_type,recommendation,final_fit,theoretical_fit,need_match,contender_gain,marginal_contender_delta,expected_minutes_share,portability,portability_tier,contract_value,salary_bucket,salary_percentile_within_role,surplus_or_overpay_label,risk_score,risk_tier,acquisition_feasibility,feasibility_tier,base_salary_millions,cap_hit_millions,contract_aav_millions,contract_status,free_agent_year,salary_source,source_url,pulled_at,gaps_addressed,gap_specific_scores,role_on_sixers,why_fit,why_need_match,why_contender_gain,concerns,salary_context,portability_summary,risk_summary,acquisition_summary,data_sources,missing_data_flags,explanation_confidence,player_id,season
Collin Gillespie,PHX,G,Primary Creator,Starter,high,minimum_candidate,free_agent,Priority Target,72.4,72.4,74.8,46.5,38.4,0.5,91.4,Elite,85.4,Minimum,8.3,Steal,7.7,Low,88.0,Easy,,2.296,,minimum_contract,2026.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; role player shooting,"{""shooting pressure"": 90.2, ""defense"": 50.8, ""playoff portability proxy"": 91.4, ""rebounding"": 55.2, ""role player shooting"": 77.8}",Projected Starter as a Primary Creator; spaces the floor for Embiid post-ups and Maxey drives.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.","50% projected minutes share x need 75 x role quality 87%, portability- and feasibility-adjusted.",missing data (draft year missing),$2.3M cap hit (minimum contract); base salary and AAV are not in the public source. Reaches free agency ~2026.,Elite (91/100). Holds up: real floor spacing; takes care of the ball. Watch: no major portability concerns.,Low risk (8/100). Drivers: missing inputs.,Easy to acquire (88/100). Signable for the veteran minimum.,Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,draft year missing,medium,1631221,2025-26
Tim Hardaway Jr.,DEN,G-F,Movement Shooter,Starter,high,minimum_candidate,free_agent,Priority Target,68.8,68.8,65.7,42.0,33.9,0.5,95.4,Elite,86.3,Minimum,8.3,Steal,11.1,Low,88.0,Easy,,2.296,,minimum_contract,2026.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; role player shooting,"{""shooting pressure"": 93.8, ""defense"": 25.9, ""playoff portability proxy"": 95.4, ""rebounding"": 12.2, ""role player shooting"": 89.6}",Projected Starter as a Movement Shooter; spaces the floor for Embiid post-ups and Maxey drives.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.","50% projected minutes share x need 66 x role quality 89%, portability- and feasibility-adjusted.",weak defensive proxies; weak defensive proxies,$2.3M cap hit (minimum contract); base salary and AAV are not in the public source. Reaches free agency ~2026.,"Elite (95/100). Holds up: real floor spacing; low-usage, plug-and-play fit; takes care of the ball. Watch: weak defensive proxies.",Low risk (11/100). Drivers: age profile.,Easy to acquire (88/100). Signable for the veteran minimum.,Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,203501,2025-26
Julian Champagnie,SAS,F,Movement Shooter,Starter,high,realistic_trade_target,trade_target,Priority Target,67.2,67.2,75.1,41.3,33.2,0.5,100.0,Elite,79.5,Cheap,16.7,Steal,12.3,Low,48.4,Difficult,,3.0,,signed_long_term,2027.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; rebounding; role player shooting,"{""shooting pressure"": 86.2, ""defense"": 44.5, ""playoff portability proxy"": 100.0, ""rebounding"": 62.2, ""role player shooting"": 85.1}",Projected Starter as a Movement Shooter; spaces the floor for Embiid post-ups and Maxey drives; helps the glass.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.","50% projected minutes share x need 75 x role quality 82%, portability- and feasibility-adjusted.",missing data (draft year missing),$3.0M cap hit (signed long term); base salary and AAV are not in the public source. Reaches free agency ~2027.,"Elite (100/100). Holds up: real floor spacing; low-usage, plug-and-play fit; takes care of the ball. Watch: no major portability concerns.",Low risk (12/100). Drivers: missing inputs.,"Difficult to acquire (48/100). Movable in a realistic trade package; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,draft year missing,medium,1630577,2025-26
Sandro Mamukelashvili,TOR,F-C,Stretch Big,Starter,high,rookie_scale_trade_target,trade_target,Priority Target,67.1,67.1,74.4,41.3,33.2,0.5,96.9,Elite,83.8,Minimum,10.3,Steal,12.2,Low,49.4,Difficult,,2.461,,rookie_scale,2027.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; defense; playoff portability proxy; rebounding; role player shooting,"{""shooting pressure"": 71.7, ""defense"": 60.8, ""playoff portability proxy"": 96.9, ""rebounding"": 73.7, ""role player shooting"": 72.0}",Projected Starter as a Stretch Big; spaces the floor for Embiid post-ups and Maxey drives; adds the perimeter/rim defense PHI lacks; helps the glass.,"Answers top PHI gaps: shooting pressure, defense, playoff portability proxy, rebounding, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, defense, playoff portability proxy, rebounding, role player shooting.","50% projected minutes share x need 74 x role quality 85%, portability- and feasibility-adjusted.",No major rule-based concerns.,$2.5M cap hit (rookie scale); base salary and AAV are not in the public source. Reaches free agency ~2027.,"Elite (97/100). Holds up: real floor spacing; two-way defensive value; low-usage, plug-and-play fit; takes care of the ball. Watch: no major portability concerns.",Low risk (12/100). Drivers: no dominant risk driver.,"Difficult to acquire (49/100). On a cheap rookie-scale deal; needs a trade; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1630572,2025-26
Reed Sheppard,HOU,G,Primary Creator,High-Level Starter,high,rookie_scale_trade_target,trade_target,Priority Target,66.4,66.4,73.7,49.1,41.1,0.6,94.5,Elite,76.7,Mid,28.6,Steal,16.3,Low,48.7,Difficult,,10.604,,rookie_scale,2028.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; defense; playoff portability proxy; role player shooting,"{""shooting pressure"": 87.6, ""defense"": 64.6, ""playoff portability proxy"": 94.5, ""rebounding"": 21.1, ""role player shooting"": 77.2}",Projected High-Level Starter as a Primary Creator; spaces the floor for Embiid post-ups and Maxey drives; adds the perimeter/rim defense PHI lacks.,"Answers top PHI gaps: shooting pressure, defense, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary; projects to high-level starter minutes.","Answers top PHI gaps: shooting pressure, defense, playoff portability proxy, role player shooting.","60% projected minutes share x need 74 x role quality 88%, portability- and feasibility-adjusted.",No major rule-based concerns.,$10.6M cap hit (rookie scale); base salary and AAV are not in the public source. Reaches free agency ~2028.,Elite (94/100). Holds up: real floor spacing; two-way defensive value; takes care of the ball. Watch: no major portability concerns.,Low risk (16/100). Drivers: no dominant risk driver.,"Difficult to acquire (49/100). On a cheap rookie-scale deal; needs a trade; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1642263,2025-26
Toumani Camara,POR,F,Movement Shooter,Starter,high,rookie_scale_trade_target,trade_target,Priority Target,65.5,65.5,73.2,39.6,31.6,0.5,90.1,Elite,86.6,Minimum,5.1,Steal,11.3,Low,49.1,Difficult,,2.222,,rookie_scale,2030.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; rebounding; role player shooting,"{""shooting pressure"": 82.6, ""defense"": 48.6, ""playoff portability proxy"": 90.1, ""rebounding"": 69.8, ""role player shooting"": 75.2}",Projected Starter as a Movement Shooter; spaces the floor for Embiid post-ups and Maxey drives; helps the glass.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.","50% projected minutes share x need 73 x role quality 86%, portability- and feasibility-adjusted.",No major rule-based concerns.,$2.2M cap hit (rookie scale); base salary and AAV are not in the public source. Reaches free agency ~2030.,Elite (90/100). Holds up: real floor spacing; takes care of the ball. Watch: no major portability concerns.,Low risk (11/100). Drivers: no dominant risk driver.,"Difficult to acquire (49/100). On a cheap rookie-scale deal; needs a trade; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1641739,2025-26
Brandon Miller,CHA,F,Secondary Creator,High-Level Starter,high,rookie_scale_trade_target,trade_target,Priority Target,64.9,64.9,72.3,47.9,39.8,0.6,89.0,Elite,77.5,Mid,31.0,Steal,14.5,Low,47.4,Difficult,,11.969,,rookie_scale,2027.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; role player shooting,"{""shooting pressure"": 81.0, ""defense"": 55.0, ""playoff portability proxy"": 89.0, ""rebounding"": 58.6, ""role player shooting"": 70.6}",Projected High-Level Starter as a Secondary Creator; spaces the floor for Embiid post-ups and Maxey drives.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary; projects to high-level starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.","60% projected minutes share x need 72 x role quality 92%, portability- and feasibility-adjusted.",No major rule-based concerns.,$12.0M cap hit (rookie scale); base salary and AAV are not in the public source. Reaches free agency ~2027.,Elite (89/100). Holds up: real floor spacing; takes care of the ball. Watch: no major portability concerns.,Low risk (14/100). Drivers: no dominant risk driver.,"Difficult to acquire (47/100). On a cheap rookie-scale deal; needs a trade; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1641706,2025-26
Donte DiVincenzo,MIN,G,Secondary Creator,Starter,high,realistic_trade_target,trade_target,Priority Target,64.8,64.8,75.4,41.3,33.3,0.5,98.4,Elite,64.2,Mid,51.3,Steal,11.3,Low,48.2,Difficult,,11.99,,signed_long_term,2027.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; role player shooting,"{""shooting pressure"": 86.1, ""defense"": 59.2, ""playoff portability proxy"": 98.4, ""rebounding"": 41.0, ""role player shooting"": 79.4}",Projected Starter as a Secondary Creator; spaces the floor for Embiid post-ups and Maxey drives.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.","50% projected minutes share x need 75 x role quality 83%, portability- and feasibility-adjusted.",No major rule-based concerns.,$12.0M cap hit (signed long term); base salary and AAV are not in the public source. Reaches free agency ~2027.,"Elite (98/100). Holds up: real floor spacing; two-way defensive value; low-usage, plug-and-play fit; takes care of the ball. Watch: no major portability concerns.",Low risk (11/100). Drivers: no dominant risk driver.,"Difficult to acquire (48/100). Movable in a realistic trade package; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1628978,2025-26
AJ Green,MIL,G,Movement Shooter,Rotation Player,high,minimum_candidate,free_agent,Priority Target,64.5,64.5,66.8,28.1,20.0,0.35,92.7,Elite,78.1,Minimum,16.9,Steal,8.0,Low,88.0,Easy,,2.302,,minimum_contract,2030.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; role player shooting,"{""shooting pressure"": 97.2, ""defense"": 25.5, ""playoff portability proxy"": 92.7, ""rebounding"": 16.8, ""role player shooting"": 90.1}",Projected Rotation Player as a Movement Shooter; spaces the floor for Embiid post-ups and Maxey drives.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.; elite playoff portability; a steal on salary.","Answers top PHI gaps: shooting pressure, playoff portability proxy, role player shooting.","35% projected minutes share x need 67 x role quality 79%, portability- and feasibility-adjusted.",weak defensive proxies; weak defensive proxies; missing data (draft year missing),$2.3M cap hit (minimum contract); base salary and AAV are not in the public source. Reaches free agency ~2030.,"Elite (93/100). Holds up: real floor spacing; low-usage, plug-and-play fit; takes care of the ball. Watch: weak defensive proxies.",Low risk (8/100). Drivers: missing inputs.,Easy to acquire (88/100). Signable for the veteran minimum.,Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,draft year missing,medium,1631260,2025-26
Jaylon Tyson,CLE,G-F,Movement Shooter,Starter,high,rookie_scale_trade_target,trade_target,Priority Target,64.2,64.2,73.7,39.7,31.7,0.5,91.8,Elite,77.8,Cheap,21.8,Steal,14.5,Low,49.9,Difficult,,3.492,,rookie_scale,2028.0,https://www.basketball-reference.com/contracts/players.html,https://www.basketball-reference.com/contracts/players.html,2026-06-25,shooting pressure; playoff portability proxy; rebounding; role player shooting,"{""shooting pressure"": 83.5, ""defense"": 44.9, ""playoff portability proxy"": 91.8, ""rebounding"": 74.6, ""role player shooting"": 79.2}",Projected Starter as a Movement Shooter; spaces the floor for Embiid post-ups and Maxey drives; helps the glass.,"Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.; elite playoff portability; a steal on salary; projects to starter minutes.","Answers top PHI gaps: shooting pressure, playoff portability proxy, rebounding, role player shooting.","50% projected minutes share x need 74 x role quality 84%, portability- and feasibility-adjusted.",No major rule-based concerns.,$3.5M cap hit (rookie scale); base salary and AAV are not in the public source. Reaches free agency ~2028.,Elite (92/100). Holds up: real floor spacing; takes care of the ball. Watch: no major portability concerns.,Low risk (14/100). Drivers: no dominant risk driver.,"Difficult to acquire (50/100). On a cheap rookie-scale deal; needs a trade; a key piece for his current team, so harder to acquire.",Stats: nba_api LeagueDash (NBA.com Stats); Roles: real bio + tracking role engine; Gaps: PHI roster diagnosis; Salary: https://www.basketball-reference.com/contracts/players.html,none,high,1642281,2025-26
